phone_number,name,formatted_address,website,rating,user_ratings_total,business_status,types
,Landmark Design Company,"4950 S Yosemite St Suite F2-105, Greenwood Village, CO 80111, United States",,5,20,OPERATIONAL,"store, point_of_interest, establishment"
,Family Holiday Lighting,"1840 Delaware Pl, Longmont, CO 80501, United States",,5,8,OPERATIONAL,"general_contractor, home_goods_store, store, point_of_interest, establishment"
,St. Nicks Christmas and Collectibles,"5221 S Santa Fe Dr, Littleton, CO 80120, United States",,4.7,742,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Lūme Landscape Lighting,"3031 Bellaire St, Denver, CO 80207, United States",,4.6,9,OPERATIONAL,"electronics_store, general_contractor, home_goods_store, store, point_of_interest, establishment"
,DEKOR Lighting,"2655 S Santa Fe Dr #4a, Denver, CO 80223, United States",,3.5,35,OPERATIONAL,"point_of_interest, establishment"
,The Perfect Christmas Lights Of Aurora,"2186 S Holly St #10, Denver, CO 80222, United States",,5,1,OPERATIONAL,"store, point_of_interest, establishment"
,Seattle Holiday Lights,"9585 8th Ave S, Seattle, WA 98108, United States",,5,20,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Lumaze Seattle,"2001 W Garfield St, Seattle, WA 98119, United States",,3.6,75,OPERATIONAL,"lodging, point_of_interest, establishment"
,Flemings Holiday and Event Lighting,"5607 29th Ave SW, Seattle, WA 98106, United States",,1,2,OPERATIONAL,"point_of_interest, establishment"
,Seattle Lighting,"222 2nd Ave Ext S, Seattle, WA 98104, United States",,4.2,110,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Seattle Lighting – Clearance Center,"26 S Hanford St, Seattle, WA 98134, United States",,4,40,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Luxe Lighting Company LLC,"8214 Greenwood Ave N, Seattle, WA 98103, United States",,5,26,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Destination Lighting,"222 2nd Ave Ext S 2nd floor, Seattle, WA 98104, United States",,3.9,14,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
